"Rank","Team","DEF","0","0%","1","1%","1 DBL","1 DBL%","2","2%","3","3%","QUART","QUART%","6","6%","2 MAN","2 MAN%","GL","GL%","RZ","RZ%","PREV","PREV%","3 SEAM","3 SEAM%","BRKT","BRKT%","MISC","MISC%","OTH","OTH%"
"","Giants","880","32","3.6%","243","27.7%","4","0.5%","77","8.8%","256","29.2%","144","16.4%","29","3.3%","8","0.9%","6","0.7%","30","3.4%","2","0.2%","23","2.6%","7","0.8%","0","0.0%","0","0.0%"
"","Saints","764","27","3.5%","85","11.2%","0","0.0%","42","5.5%","253","33.2%","168","22.1%","65","8.5%","3","0.4%","12","1.6%","26","3.4%","0","0.0%","58","7.6%","1","0.1%","1","0.1%","0","0.0%"
"","Chargers","704","32","4.6%","50","7.1%","1","0.1%","69","9.8%","266","38.0%","169","24.1%","49","7.0%","8","1.1%","1","0.1%","26","3.7%","2","0.3%","10","1.4%","13","1.8%","0","0.0%","0","0.0%"
"","Rams","820","18","2.2%","110","13.5%","6","0.7%","125","15.3%","240","29.3%","124","15.2%","88","10.8%","1","0.1%","10","1.2%","21","2.6%","1","0.1%","66","8.1%","2","0.2%","0","0.0%","0","0.0%"
"","Vikings","776","57","7.3%","55","7.1%","4","0.5%","159","20.5%","237","30.6%","92","11.9%","99","12.8%","14","1.8%","10","1.3%","27","3.5%","3","0.4%","6","0.8%","4","0.5%","0","0.0%","0","0.0%"
"","Eagles","812","43","5.3%","145","17.9%","4","0.5%","22","2.7%","179","22.1%","105","13.0%","162","20.0%","7","0.9%","3","0.4%","28","3.5%","2","0.3%","96","11.8%","3","0.4%","0","0.0%","0","0.0%"
"","Seahawks","808","33","4.1%","88","11.0%","2","0.3%","90","11.2%","233","29.0%","105","13.1%","169","21.1%","2","0.3%","1","0.1%","27","3.4%","1","0.1%","50","6.2%","2","0.3%","0","0.0%","0","0.0%"
"","Buccaneers","755","35","4.7%","116","15.4%","4","0.5%","105","13.9%","251","33.3%","114","15.1%","32","4.3%","17","2.3%","9","1.2%","14","1.9%","0","0.0%","41","5.4%","8","1.1%","0","0.0%","0","0.0%"
"","Dolphins","760","50","6.6%","138","18.3%","0","0.0%","163","21.6%","243","32.2%","69","9.1%","44","5.8%","7","0.9%","6","0.8%","20","2.6%","1","0.1%","0","0.0%","8","1.1%","0","0.0%","0","0.0%"
"","Jets","782","39","5.0%","192","24.6%","1","0.1%","141","18.0%","198","25.3%","99","12.7%","16","2.1%","24","3.1%","0","0.0%","24","3.1%","0","0.0%","16","2.1%","15","1.9%","0","0.0%","0","0.0%"
"","Chiefs","696","42","6.0%","93","13.4%","5","0.7%","114","16.4%","170","24.5%","123","17.7%","42","6.0%","4","0.6%","11","1.6%","25","3.6%","0","0.0%","51","7.3%","5","0.7%","0","0.0%","0","0.0%"
"","Bills","703","23","3.3%","116","16.6%","0","0.0%","102","14.6%","220","31.5%","85","12.2%","85","12.2%","18","2.6%","0","0.0%","36","5.1%","4","0.6%","7","1.0%","2","0.3%","0","0.0%","0","0.0%"
"","Bears","746","45","6.1%","170","23.0%","3","0.4%","140","18.9%","213","28.8%","54","7.3%","26","3.5%","16","2.2%","3","0.4%","20","2.7%","3","0.4%","37","5.0%","9","1.2%","0","0.0%","0","0.0%"
"","Raiders","789","39","5.0%","69","8.8%","0","0.0%","99","12.6%","368","47.0%","76","9.7%","48","6.1%","4","0.5%","4","0.5%","33","4.2%","0","0.0%","28","3.6%","1","0.1%","0","0.0%","0","0.0%"
"","Colts","836","44","5.3%","176","21.1%","11","1.3%","118","14.2%","205","24.6%","101","12.1%","65","7.8%","7","0.8%","7","0.8%","47","5.6%","4","0.5%","38","4.6%","7","0.8%","0","0.0%","0","0.0%"
"","Texans","728","10","1.4%","122","16.9%","1","0.1%","47","6.5%","238","32.9%","144","19.9%","82","11.3%","0","0.0%","9","1.2%","15","2.1%","3","0.4%","49","6.8%","0","0.0%","0","0.0%","0","0.0%"
"","Patriots","776","24","3.1%","201","26.0%","3","0.4%","131","17.0%","216","27.9%","135","17.5%","21","2.7%","3","0.4%","1","0.1%","19","2.5%","3","0.4%","9","1.2%","2","0.3%","1","0.1%","0","0.0%"
"","Packers","775","19","2.5%","134","17.4%","0","0.0%","98","12.7%","260","33.7%","97","12.6%","115","14.9%","1","0.1%","10","1.3%","18","2.3%","1","0.1%","15","1.9%","0","0.0%","0","0.0%","0","0.0%"
"","Bengals","816","51","6.3%","154","18.9%","7","0.9%","70","8.6%","257","31.6%","36","4.4%","133","16.4%","5","0.6%","13","1.6%","25","3.1%","3","0.4%","47","5.8%","4","0.5%","0","0.0%","0","0.0%"
"","Lions","767","19","2.5%","236","31.0%","11","1.5%","75","9.9%","222","29.2%","108","14.2%","19","2.5%","14","1.8%","15","2.0%","12","1.6%","0","0.0%","8","1.1%","11","1.5%","0","0.0%","0","0.0%"
"","Steelers","858","30","3.5%","230","27.0%","4","0.5%","94","11.0%","297","34.8%","96","11.3%","41","4.8%","19","2.2%","8","0.9%","10","1.2%","0","0.0%","7","0.8%","9","1.1%","1","0.1%","0","0.0%"
"","Broncos","824","67","8.2%","196","23.8%","2","0.2%","77","9.4%","182","22.1%","97","11.8%","65","7.9%","15","1.8%","11","1.3%","16","1.9%","4","0.5%","71","8.6%","16","1.9%","0","0.0%","0","0.0%"
"","Titans","757","30","4.0%","112","14.8%","0","0.0%","87","11.5%","220","29.1%","142","18.8%","82","10.9%","0","0.0%","8","1.1%","34","4.5%","2","0.3%","20","2.6%","3","0.4%","0","0.0%","0","0.0%"
"","Browns","741","40","5.4%","284","38.4%","1","0.1%","102","13.8%","182","24.6%","43","5.8%","28","3.8%","2","0.3%","6","0.8%","4","0.5%","0","0.0%","30","4.1%","0","0.0%","0","0.0%","0","0.0%"
"","Cardinals","780","37","4.8%","96","12.4%","0","0.0%","105","13.5%","218","28.1%","206","26.6%","35","4.5%","4","0.5%","4","0.5%","33","4.3%","3","0.4%","15","1.9%","0","0.0%","0","0.0%","0","0.0%"
"","Cowboys","804","28","3.5%","108","13.5%","0","0.0%","158","19.8%","267","33.4%","91","11.4%","48","6.0%","0","0.0%","8","1.0%","33","4.1%","0","0.0%","45","5.6%","2","0.3%","0","0.0%","0","0.0%"
"","Falcons","783","15","1.9%","138","17.7%","1","0.1%","21","2.7%","304","39.0%","152","19.5%","44","5.7%","0","0.0%","3","0.4%","17","2.2%","0","0.0%","78","10.0%","0","0.0%","0","0.0%","0","0.0%"
"","Ravens","812","69","8.5%","205","25.4%","0","0.0%","104","12.9%","263","32.6%","35","4.3%","64","7.9%","0","0.0%","4","0.5%","22","2.7%","4","0.5%","25","3.1%","4","0.5%","0","0.0%","0","0.0%"
"","49ers","836","15","1.8%","125","15.1%","0","0.0%","35","4.2%","319","38.4%","182","21.9%","93","11.2%","3","0.4%","7","0.8%","31","3.7%","1","0.1%","11","1.3%","3","0.4%","0","0.0%","0","0.0%"
"","Panthers","791","11","1.4%","83","10.5%","0","0.0%","68","8.6%","287","36.3%","107","13.5%","113","14.3%","1","0.1%","2","0.3%","28","3.5%","1","0.1%","75","9.5%","1","0.1%","0","0.0%","0","0.0%"
"","Jaguars","782","40","5.1%","107","13.8%","2","0.3%","70","9.0%","236","30.4%","97","12.5%","173","22.3%","0","0.0%","5","0.6%","17","2.2%","2","0.3%","14","1.8%","8","1.0%","0","0.0%","0","0.0%"
"","Commanders","781","26","3.4%","181","23.3%","2","0.3%","95","12.2%","235","30.2%","94","12.1%","55","7.1%","2","0.3%","7","0.9%","35","4.5%","2","0.3%","33","4.3%","2","0.3%","0","0.0%","0","0.0%"